mesure_dt,area_nm,city,fact_manage_nm,fact_adres,stack_code,hcl_mesure_value,nox_mesure_value,sox_mesure_value,co_mesure_value,tsp_mesure_value,nh3_mesure_value,hf_mesure_value,hcl_exhst_perm_stdr_value,nox_exhst_perm_stdr_value,sox_exhst_perm_stdr_value,co_exhst_perm_stdr_value,tsp_exhst_perm_stdr_value,collected_at
2026-07-10 20:30,충청북도,단양군,㈜태경비케이 단양2공장,충청북도 단양군 매포읍 단양로 2203-22,1,,43.94,,,5.37,,,,210,,,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,㈜태경비케이 단양2공장,충청북도 단양군 매포읍 단양로 2203-22,15,,94.26,,,,,,,210,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,광진산업㈜ 단양지점,충청북도 단양군 매포읍 매포어상천로 126,1,,63.19,,,,,,,210,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,광진산업㈜ 단양지점,충청북도 단양군 매포읍 매포어상천로 126,2,,64.89,,,,,,,210,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,괴산군,괴산군청(괴산군 자원순환센터),충청북도 괴산군 괴산읍 능촌로2길 70-37,1,4.75,36.73,,2.56,0.68,,,12,56,,160,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,금강공업㈜ 음성2공장,충청북도 음성군 생극면 대금로 1994,1,,0.00,0.00,,,,,,105,140,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,금강공업㈜ 음성2공장,충청북도 음성군 생극면 대금로 1994,2,,6.06,6.82,,,,,,105,140,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,깨끗한나라㈜ 청주공장,충청북도 청주시 흥덕구 강내면 태성1길 64,2,0.18,35.25,0.00,10.38,0.86,,,12,47,20,50,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,깨끗한나라㈜ 청주공장,충청북도 청주시 흥덕구 강내면 태성1길 64,3,보수중,측정자료확인중(가동중지),측정자료확인중(가동중지),측정자료확인중(가동중지),측정자료확인중(가동중지),,,15,65.8,30,200,20,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,깨끗한나라㈜ 청주공장,충청북도 청주시 흥덕구 강내면 태성1길 64,41,,6.78,,,,,,,141,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,깨끗한나라㈜ 청주공장,충청북도 청주시 흥덕구 강내면 태성1길 64,6,0.07,40.83,,3.10,0.99,,,10,47,,50,10,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,깨끗한나라㈜ 청주공장,충청북도 청주시 흥덕구 강내면 태성1길 64,7,0.07,34.63,,3.12,1.04,,,10,47,,50,10,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,깨끗한나라㈜ 청주공장,충청북도 청주시 흥덕구 강내면 태성1길 64,8,0.00,28.52,0.00,0.00,0.71,,,12,47,20,50,10,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,나투라페이퍼㈜,충청북도 청주시 흥덕구 오송읍 상정쌍청로 171,2,7.44,25.95,3.52,15.41,1.02,,,12,50,20,50,15,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,제천시,대림바스 주식회사,충청북도 제천시 봉양읍 제원로 80-50,7,,21.86,,,,,,,150,,,,2026-07-10 22:05:32
